"Ativo","Data","Último (R$)","Var. Dia (%)","Var. Sem. (%)","Var. Mês (%)","Var. Ano (%)","Var. 12M (%)","Val. Mín","Val. Máx","Volume"
"RADL3","04/08","14,87","8,54","8,54","10,39","-31,69","-46,70","13,88","14,95","220,64 M"
"HAPV3","04/08","33,95","3,95","3,95","2,66","1,49","-47,36","33,02","34,00","167,63 M"
"VIVA3","04/08","26,63","3,54","3,54","4,76","43,04","13,04","25,91","26,71","57,06 M"
"TIMS3","04/08","21,35","3,04","3,04","3,09","58,43","32,57","20,94","21,35","116,58 M"
"IRBR3","04/08","45,52","2,71","2,71","0,04","7,23","58,88","44,47","45,52","60,12 M"
"RDOR3","04/08","33,20","2,47","2,47","2,15","31,92","21,55","32,70","33,47","112,8 M"
"LREN3","04/08","16,87","2,30","2,30","3,69","42,25","40,54","16,61","17,04","179,84 M"
"BBAS3","04/08","18,72","2,02","2,02","-4,97","-19,71","-22,63","18,46","19,02","925,73 M"
"PSSA3","04/08","53,28","1,93","1,93","2,68","51,94","82,29","52,34","53,60","138,71 M"
"ASAI3","04/08","9,86","1,65","1,65","4,78","77,82","-1,85","9,67","9,96","127,49 M"
"EMBR3","04/08","80,00","1,20","1,20","-0,82","42,52","104,03","78,60","80,32","354,96 M"
"GGBR4","04/08","16,23","1,12","1,12","-3,62","-9,26","-2,90","16,12","16,63","135,56 M"
"MOTV3","04/08","12,64","1,12","1,12","2,68","25,83","2,02","12,53","12,81","88,16 M"
"VIVT3","04/08","31,93","1,11","1,11","1,43","42,16","35,06","31,70","32,13","117,5 M"
"ITUB4","04/08","35,30","1,06","1,06","0,46","33,80","26,87","35,03","35,56","522,62 M"
"BRAP4","04/08","15,86","1,02","1,02","0,76","0,94","-1,97","15,70","15,94","52,38 M"
"ABEV3","04/08","12,41","0,98","0,98","-0,40","7,70","12,04","12,34","12,57","171,53 M"
"BBDC3","04/08","13,49","0,93","0,90","0,75","34,70","28,48","13,41","13,67","80,45 M"
"AURE3","04/08","9,73","0,83","0,83","4,96","11,73","-16,89","9,63","9,80","14,37 M"
"VALE3","04/08","54,18","0,80","0,80","1,35","3,19","-1,58","53,81","54,40","802,44 M"
"CPFE3","04/08","38,23","0,79","0,79","0,84","30,32","24,08","37,71","38,40","55,76 M"
"ITSA4","04/08","10,42","0,77","0,77","0,68","27,29","21,76","10,35","10,49","138,77 M"
"BBDC4","04/08","15,66","0,75","0,77","0,97","44,41","34,27","15,60","15,94","370,2 M"
"B3SA3","04/08","12,68","0,71","0,71","0,79","24,52","19,29","12,61","12,91","349,16 M"
"RAIL3","04/08","16,44","0,67","0,67","-0,60","-4,05","-26,88","16,34","16,75","84,91 M"
"GOAU4","04/08","9,05","0,67","0,67","-3,42","-10,36","-8,04","9,00","9,20","42,46 M"
"SMFT3","04/08","21,06","0,53","0,53","1,64","24,85","4,71","20,89","21,33","78,78 M"
"FLRY3","04/08","14,30","0,42","0,42","-0,35","23,48","0,08","14,05","14,43","33,19 M"
"BBSE3","04/08","33,55","0,33","0,33","-0,45","-1,59","5,97","33,37","33,94","159,38 M"
"SLCE3","04/08","18,15","0,06","0,06","-0,98","6,69","5,25","17,99","18,26","16,43 M"
"ELET3","04/08","37,89","0,03","0,03","0,21","13,34","3,41","37,74","38,33","110,35 M"
"ALOS3","04/08","21,54","0,00","0,00","1,08","22,89","2,95","21,43","21,91","48,89 M"
"USIM5","04/08","4,39","0,00","0,00","0,23","-17,48","-26,09","4,32","4,45","41,89 M"
"AZZA3","04/08","35,25","-0,03","-0,03","-1,21","19,17","-28,97","34,78","35,90","36,77 M"
"RENT3","04/08","34,36","-0,03","-0,03","-0,78","9,07","-20,59","33,98","35,06","130,95 M"
"ELET6","04/08","41,03","-0,05","-0,05","0,32","8,84","1,02","40,76","41,55","53,27 M"
"STBP3","04/08","13,95","-0,07","-0,07","0,00","8,43","25,52","13,95","14,00","56,9 M"
"TOTS3","04/08","43,76","-0,09","-0,09","0,34","64,69","61,82","43,58","44,49","55,13 M"
"PETR4","04/08","32,16","-0,16","-0,16","-1,47","-6,53","4,55","31,96","32,27","428,52 M"
"ENEV3","04/08","13,50","-0,22","-0,22","0,37","28,21","7,48","13,36","13,80","54,86 M"
"CXSE3","04/08","13,35","-0,22","-0,22","-0,88","-0,07","3,14","13,21","13,53","86,11 M"
"BRKM5","04/08","8,58","-0,23","-0,23","-1,83","-25,91","-48,19","8,44","8,71","19,08 M"
"EQTL3","04/08","34,25","-0,23","-0,23","0,41","27,79","6,56","34,00","34,80","102,62 M"
"PETZ3","04/08","4,03","-0,25","-0,25","1,77","-0,98","18,10","4,01","4,10","9,69 M"
"CPLE6","04/08","11,90","-0,25","-0,25","0,34","35,17","26,36","11,78","12,07","77,95 M"
"SBSP3","04/08","108,58","-0,27","-0,27","0,25","26,41","25,26","107,58","110,33","119,63 M"
"WEGE3","04/08","37,07","-0,30","-0,30","-0,11","-28,74","-24,05","37,02","37,79","224,35 M"
"PETR3","04/08","35,16","-0,34","-0,34","-1,76","-6,45","4,59","34,93","35,29","141,76 M"
"CSAN3","04/08","5,80","-0,34","-0,34","-2,19","-28,92","-55,38","5,76","5,91","57,79 M"
"CMIG4","04/08","10,30","-0,39","-0,39","-0,29","1,77","13,57","10,20","10,39","94,63 M"
"MRFG3","04/08","21,33","-0,42","-0,42","0,14","25,25","116,02","21,10","22,15","98,89 M"
"CVCB3","04/08","2,34","-0,43","-0,43","-0,85","69,57","26,49","2,32","2,39","12,86 M"
"DIRR3","04/08","39,02","-0,51","-0,51","0,72","61,68","60,09","38,49","40,17","34,19 M"
"MGLU3","04/08","7,18","-0,55","-0,55","1,70","13,84","-36,05","7,13","7,38","96,6 M"
"MRVE3","04/08","5,95","-0,67","-0,67","0,00","12,05","-11,46","5,89","6,10","23,23 M"
"SMTO3","04/08","16,93","-0,70","-0,70","-2,36","-25,64","-38,27","16,83","17,24","16,3 M"
"VBBR3","04/08","21,05","-0,71","-0,71","-0,75","23,16","-3,80","20,89","21,66","161,2 M"
"RAIZ4","04/08","1,39","-0,71","-0,71","-2,11","-35,65","-52,72","1,37","1,42","29,85 M"
"EGIE3","04/08","39,89","-0,77","-0,77","-0,10","14,85","-4,60","39,64","40,50","15,97 M"
"VAMO3","04/08","3,86","-0,77","-0,77","0,52","-18,74","-53,82","3,84","3,96","20,92 M"
"CYRE3","04/08","24,27","-0,98","-0,98","-1,02","49,45","26,91","23,87","24,85","85,38 M"
"BEEF3","04/08","4,89","-1,01","-1,01","-1,01","18,94","-6,43","4,84","5,02","35,4 M"
"BRAV3","04/08","19,18","-1,08","-1,08","-2,84","-18,45","-28,00","19,00","19,46","112,43 M"
"RECV3","04/08","13,18","-1,20","-1,20","-1,79","-14,32","-24,77","13,13","13,38","12,8 M"
"PRIO3","04/08","40,48","-1,24","-1,24","-4,05","0,82","-12,02","40,07","40,96","276,46 M"
"UGPA3","04/08","16,70","-1,30","-1,30","-2,74","8,21","-23,97","16,59","17,30","31,57 M"
"MULT3","04/08","25,29","-1,40","-1,40","-0,04","23,99","6,34","25,20","26,02","89,51 M"
"COGN3","04/08","2,73","-1,44","-1,44","0,00","157,60","87,18","2,69","2,80","50,91 M"
"NATU3","04/08","8,77","-1,57","-1,57","-2,88","-31,27","-41,10","8,71","9,06","55,82 M"
"CMIN3","04/08","4,94","-1,59","-1,59","-1,98","0,39","15,00","4,94","5,13","19,84 M"
"SUZB3","04/08","50,77","-1,87","-1,87","-2,65","-17,82","-1,57","50,28","52,18","242,98 M"
"POMO4","04/08","8,72","-1,91","-1,91","5,57","23,05","37,94","8,54","9,00","82,94 M"
"ISAE4","04/08","21,17","-1,99","-1,99","-2,31","0,25","-6,07","20,99","21,80","57,23 M"
"CSNA3","04/08","7,45","-2,23","-2,23","-7,11","-15,91","-31,05","7,43","7,76","55,3 M"
"HYPE3","04/08","25,25","-2,43","-2,43","-1,79","42,67","-6,66","25,09","26,40","53,34 M"
"YDUQ3","04/08","12,68","-2,54","-2,54","-2,01","54,33","22,75","12,48","13,22","49,96 M"
"PCAR3","04/08","3,39","-2,87","-2,87","-3,69","32,94","26,97","3,39","3,58","17,5 M"
"BRFS3","04/08","19,63","-3,40","-3,40","-2,09","-22,59","-4,12","19,50","20,91","124,92 M"